Participant,Scenario,intData_HandoffTime,intData_HandoffMisses,intData_AcceptTime,intData_AcceptMisses,intData_CDT,intData_ConfMisses,intData_FalseAlarms
1,1,3235.95,0,2838.106667,1,12733.9,1,0
1,2,2846.495,0,3978.253333,0,13868.46,0,0
1,3,2650.75,0,2952.385,1,14431.355,0,0
1,4,2645.963333,0,3994.24,2,10209.46,0,0
1,5,2253.066667,0,2908.296667,1,21357.55,0,0
2,1,2866.3,1,5743.955,2,17221.3,0,0
2,2,1928.235,0,4239.666667,0,10244.8,0,0
2,3,3617.9,0,3883.495,1,13379.41,0,0
2,4,3728.21,0,3353.08,1,12205,1,0
2,5,1555,0,5523.22,1,16681.3,1,0
3,1,2255.4,1,2672.61,1,10750.1,1,0
3,2,1758.82,0,3766.393333,0,9276.1,1,0
3,3,1956.2,0,3254.49,0,12130.165,0,0
3,4,2044.663333,0,3812.01,2,12283.215,0,0
3,5,1965.566667,0,2496.39,1,nan,2,0
4,1,5136.1,1,4479.436667,1,13144.1,1,0
4,2,3844.235,0,4484,0,17865.7,1,0
4,3,2768.75,0,3884.005,1,nan,2,0
4,4,5746.516667,0,4075.91,2,15653.05,0,0
4,5,3039.1,1,6392.813333,1,nan,2,0
5,1,3025.3,0,3309.18,1,16657.1,1,1
5,2,1533.395,0,3757.196667,0,13623.2,0,0
5,3,1386.2,0,2457.67,0,10943.73,0,0
5,4,1620.833333,0,2572.575,1,8015.575,0,0
5,5,1261.1,0,4727.433333,1,nan,2,0
6,1,3384.75,0,3431.973333,1,13132,1,0
6,2,1896.28,0,5805.226667,0,20311.9,1,0
6,3,3812.4,0,3521.8,1,14919.425,0,0
6,4,3797.76,0,3735.12,2,14146.395,0,0
6,5,2264.733333,0,3007.366667,1,nan,2,0
7,1,4336.2,0,3358.813333,1,21692.6,1,0
7,2,3227.52,0,3365.896667,0,16541,1,0
7,3,2191.35,0,5253.525,1,10568.9,1,0
7,4,3488.533333,0,2724.835,1,16601.6,1,0
7,5,2453.533333,0,5533.646667,1,nan,2,0
8,1,1424.9,0,2181.223333,1,nan,2,0
8,2,1530.05,1,4676.38,1,18911,0,0
8,3,1366.65,0,3298.143333,0,8773.28,1,0
8,4,2370.193333,0,3612,2,21819.8,1,0
8,5,1902.1,0,6651.843333,1,nan,2,0
9,1,6673.2,1,3651.166667,1,16466.25,0,0
9,2,3426.27,0,4063.41,0,nan,2,0
9,3,3281.1,0,5362.135,1,9561.79,1,0
9,4,3049.613333,0,3662.51,1,18182.65,0,0
9,5,3074.9,0,3946.026667,1,nan,2,0
10,1,4099.15,0,3777.78,1,nan,2,0
10,2,4046.895,0,4504.75,0,23480.6,1,0
10,3,5847.6,0,3880.023333,0,17671.6,0,0
10,4,4764.52,0,6213.82,2,nan,2,0
10,5,2711.6,1,4117.105,2,23937.5,1,0
11,1,4612.3,1,3989.615,2,15088.1,1,0
11,2,2531.48,0,4496.976667,0,9361.87,1,0
11,3,2819.25,0,2596.573333,0,6839.42,1,0
11,4,2863.99,0,4767.64,2,17126.8,1,0
11,5,2192.266667,0,4102.51,2,15238.8,1,0
12,1,1658.1,0,2295.6,1,7927.27,1,0
12,2,2035.905,0,3989.916667,0,9276.99,1,0
12,3,3104.4,1,2582.68,1,15359.425,0,0
12,4,2084.11,0,3602.11,2,8785.29,0,0
12,5,2488.3,1,4875.706667,1,nan,2,0
13,1,1843.9,0,4866.286667,1,11012,1,0
13,2,3278.41,0,5160.663333,0,9935.9,1,0
13,3,4817.75,0,3508.543333,0,12813.06,0,0
13,4,3669.51,0,3265.23,1,11089.63,0,0
13,5,2699.2,1,6495.09,1,nan,2,0
14,1,2092.1,0,3874.276667,1,16318.075,0,0
14,2,2361.93,0,5041.506667,0,10235.5,1,0
14,3,1522.9,0,3361.283333,0,15977.16,0,0
14,4,1991.353333,0,2617.265,1,15158.4,1,0
14,5,3399,0,4953.17,1,24016.2,1,0
15,1,2071.9,0,3235.113333,1,nan,2,0
15,2,3289.305,0,4980.68,0,19337.6,1,2
15,3,5565.9,0,6866.09,1,16098.53,0,2
15,4,3005.87,1,4127.86,1,8793,1,0
15,5,3147.9,0,5699.763333,1,11349.8,1,0
16,1,2693.55,0,3304.073333,1,nan,2,0
