scenario,acnum,pair,callsign,altitude,t2,t1,partner
1,1,1,MH75,39000,38,0,QF12
1,2,1,QF12,39300,38,0,MH75
1,1,2,QR21,40100,191,105,JQ59
1,2,2,JQ59,40000,191,105,QR21
1,1,3,SQ48,36600,284,186,JQ61
1,2,3,JQ61,36400,284,186,SQ48
2,1,4,GA55,36000,245,80,VA63
2,2,4,VA63,35900,245,80,GA55
2,1,5,SQ84,35000,123,0,QF36
2,2,5,QF36,35000,123,0,SQ84
2,1,6,MH98,34000,263,171,CX12
2,2,6,CX12,34000,263,171,MH98
3,1,7,VA17,40000,166,30,CX98
3,2,7,CX98,40000,166,30,VA17
3,1,8,VA96,30000,49,0,GA05
3,2,8,GA05,29600,49,0,VA96
3,1,9,QF63,38000,261,142,MH52
3,2,9,MH52,37700,261,142,QF63
4,1,10,SQ22,32000,44,0,BA04
4,2,10,BA04,32300,44,0,SQ22
4,1,11,QR17,34000,257,150,JQ40
4,2,11,JQ40,34500,257,150,QR17
4,1,12,QF41,35000,253,95,VA89
4,2,12,VA89,35000,253,95,QF41
5,1,13,NA06,34000,90,0,QR32
5,2,13,QR32,34900,90,0,NA06
5,1,14,TT92,36000,244,177,JQ25
5,2,14,JQ25,36000,244,177,TT92
5,1,15,EK96,37000,222,40,MH37
5,2,15,MH37,37000,222,40,EK96
6,1,16,TT52,34000,258,144,EK37
6,2,16,EK37,33800,258,144,TT52
6,1,17,BA01,33000,54,0,QR04
6,2,17,QR04,32900,54,0,BA01
6,1,18,EK63,34000,260,85,QR74
6,2,18,QR74,34000,260,85,EK63
7,1,19,EK05,40000,274,180,MH73
7,2,19,MH73,40500,274,180,EK05
7,1,20,NA22,40000,208,100,VA57
7,2,20,VA57,39200,208,100,NA22
7,1,21,CX24,36000,72,0,JQ38
7,2,21,JQ38,36900,72,0,CX24
8,1,22,GA55,38500,56,0,MH01
8,2,22,MH01,39000,56,0,GA55
8,1,23,QR44,39000,213,141,NA97
8,2,23,NA97,38600,213,141,QR44
8,1,24,BA05,32000,223,25,EK69
8,2,24,EK69,32000,223,25,BA05
9,1,25,VA31,32000,80,0,BA47
9,2,25,BA47,31900,80,0,VA31
9,1,26,BA20,35000,237,162,GA12
9,2,26,GA12,34400,237,162,BA20
9,1,27,VA66,38000,288,100,JQ57
9,2,27,JQ57,37400,288,100,VA66
10,1,28,QR51,39000,256,163,GA24
10,2,28,GA24,39300,256,163,QR51
10,1,29,NA02,31000,183,75,QF45
10,2,29,QF45,31100,183,75,NA02
10,1,30,NA84,34000,81,0,QR26
10,2,30,QR26,33600,81,0,NA84
11,1,31,NA16,39000,84,0,JQ94
11,2,31,JQ94,39900,84,0,NA16
11,1,32,TT55,37000,277,180,NA74
11,2,32,NA74,36100,277,180,TT55
11,1,33,QF82,39000,213,140,QF27
11,2,33,QF27,39400,213,140,QF82
12,1,34,TT66,29700,57,0,GA14
12,2,34,GA14,29800,57,0,TT66
12,1,35,GA34,37600,287,175,SQ84
12,2,35,SQ84,37000,287,175,GA34
12,1,36,JQ94,42000,204,105,EK91
12,2,36,EK91,42100,204,105,JQ94
13,1,37,CX03,32000,80,0,MH26
13,2,37,MH26,32000,80,0,CX03
13,1,38,GA54,38000,220,35,QR84
13,2,38,QR84,38000,220,35,GA54
13,1,39,TT35,39000,280,180,CX90
13,2,39,CX90,38900,280,180,TT35
14,1,40,MH98,34000,103,0,SQ40
14,2,40,SQ40,33800,103,0,MH98
14,1,41,MH44,33500,278,185,NA11
14,2,41,NA11,32900,278,185,MH44
14,1,42,SQ65,31000,191,75,SQ90
14,2,42,SQ90,31800,191,75,SQ65
15,1,43,QR46,32000,254,128,VA13
15,2,43,VA13,31400,254,128,QR46
15,1,44,MH23,36000,269,190,EK93
15,2,44,EK93,35800,269,190,MH23
15,1,45,EK39,39000,118,10,QF89
15,2,45,QF89,39400,118,10,EK39
16,1,46,MH65,38000,82,0,CX50
16,2,46,CX50,37800,82,0,MH65
16,1,47,NA60,36000,227,107,JQ02
16,2,47,JQ02,35400,227,107,NA60
16,1,48,EK93,34000,273,192,QF75
16,2,48,QF75,33500,273,192,EK93
