scenario,condition,day1,day2,key,interruptiontime,encode_s,encode_l,ret_s,ret_l
1,L,GA81,GA24,Down Arrow,120,110,70,147,187
2,L,MH36,QR18,Down Arrow,142,132,92,169,209
3,L,QF19,BA22,Down Arrow,95,85,45,122,162
4,L,CX28,BA51,Right Arrow,96,86,46,123,163
5,L,CX50,QF13,Left Arrow,148,138,98,175,215
6,L,BA28,QF56,Up Arrow,96,86,46,123,163
7,L,QR29,QF57,Down Arrow,123,113,73,150,190
8,L,NA16,JQ51,Up Arrow,91,81,41,118,158
9,L,JQ90,BA48,Left Arrow,133,123,83,160,200
10,L,EK41,TT66,Up Arrow,123,113,73,150,190
11,L,QR60,GA48,Right Arrow,144,134,94,171,211
12,L,QR02,NA03,Down Arrow,120,110,70,147,187
13,L,VA48,EK07,Left Arrow,106,96,56,133,173
14,L,JQ21,EK17,Right Arrow,111,101,61,138,178
15,L,JQ67,CX65,Up Arrow,144,134,94,171,211
16,L,CX38,QR42,Up Arrow,138,128,88,165,205
1,S,QR60,NA76,Down Arrow,120,110,70,147,187
2,S,NA20,VA44,Down Arrow,142,132,92,169,209
3,S,GA42,GA91,Down Arrow,95,85,45,122,162
4,S,EK84,JQ80,Right Arrow,96,86,46,123,163
5,S,MH15,QF59,Left Arrow,148,138,98,175,215
6,S,TT24,EK59,Up Arrow,96,86,46,123,163
7,S,QF35,SQ85,Down Arrow,123,113,73,150,190
8,S,QR20,EK60,Up Arrow,91,81,41,118,158
9,S,JQ91,MH42,Left Arrow,133,123,83,160,200
10,S,VA23,TT07,Up Arrow,123,113,73,150,190
11,S,NA93,BA08,Right Arrow,144,134,94,171,211
12,S,VA41,BA48,Down Arrow,120,110,70,147,187
13,S,VA57,BA68,Left Arrow,106,96,56,133,173
14,S,JQ49,CX36,Right Arrow,111,101,61,138,178
15,S,SQ78,BA03,Up Arrow,144,134,94,171,211
16,S,SQ17,JQ84,Up Arrow,138,128,88,165,205
