Trial,Flash Time,Flash Time (HP),Flash CS,Type,Automatic,Selection Time,Selection Time (HP),Key Pressed,Time,Time (HP),Acceptance Time,Acceptance Time (HP),Error,Error Total,Score
test1,218,218015,EK30,accept,0,0,-1,,,,,,1,14,-420,
test1,142,142017,JQ59,accept,1,-1,-1,,,,142,142017,,,-420,
test1,196,196007,JQ61,accept,0,0,-1,,,,,,1,,-420,
test1,251,251019,JQ69,accept,0,0,-1,,,,,,1,,-420,
test1,285,285005,NA72,accept,0,0,-1,,,,,,1,,-420,
test1,159,159013,NA86,accept,0,0,-1,,,,,,1,,-420,
test1,0,1.68738e+015,QF19,accept,0,4,4047.08,A,4,4670.76,4,4670.98,0,,-420,
test1,176,176004,QF23,accept,0,0,-1,,,,,,1,,-420,
test1,64,63989.6,QF50,accept,0,0,-1,,,,,,1,,-420,
test1,109,109004,QF62,accept,1,-1,-1,,,,109,109004,1,,-420,
test1,18,17997.3,QR21,accept,0,0,-1,,,,,,1,,-420,
test1,251,251019,QR31,accept,0,0,-1,,,,,,1,,-420,
test1,63,62994.1,SQ48,accept,0,0,-1,,,,,,1,,-420,
test1,178,178010,SQ80,accept,0,0,-1,,,,,,1,,-420,
test1,275,275019,TT53,accept,0,0,-1,,,,,,1,,-420,

test1,71,70990.9,BA57,handoff,0,0,-1,,,,,,1,14,-420,
test1,76,75990.8,BA82,handoff,0,0,-1,,,,,,1,,-420,
test1,234,234005,EK68,handoff,0,0,-1,,,,,,1,,-420,
test1,222,222015,GA37,handoff,0,0,-1,,,,,,1,,-420,
test1,187,187004,LPM,handoff,0,0,-1,,,,,,1,,-420,
test1,22,22001.9,MH03,handoff,0,0,-1,,,,,,1,,-420,
test1,43,42989.9,MH63,handoff,0,0,-1,,,,,,1,,-420,
test1,86,86010.3,MH75,handoff,0,0,-1,,,,,,1,,-420,
test1,263,263005,QF12,handoff,0,0,-1,,,,,,1,,-420,
test1,89,89005.1,QR39,handoff,0,0,-1,,,,,,1,,-420,
test1,102,102005,QR84,handoff,0,0,-1,,,,,,1,,-420,
test1,147,147018,SPM,handoff,0,0,-1,,,,,,1,,-420,
test1,204,204004,SQ02,handoff,0,0,-1,,,,,,1,,-420,
test1,159,159013,TT26,handoff,0,0,-1,,,,,,1,,-420,

Intervene Time,Intervention Time (HP),Intervene CS,Level,Missed

Trial,Callsign,Dismiss Time,Dismiss Time HP

Trial,Interruption Type,Start Time,End Time,Show Full Screen,External Program,Auto Accept,Auto Handoff

Trial,Stimuli Number,Stimuli,Response

Trial,Flash Time,Flash Time (HP),Flash CS,Type,Automatic,Selection Time,Selection Time (HP),Acceptance Time,Acceptance Time (HP),Error,Error Total,Score
test2,56,56013.1,CX12,accept,0,0,-1,,,1,14,-390,
test2,132,132062,CX80,accept,1,-1,-1,132,132062,1,,-390,
test2,106,106043,EK09,accept,0,0,-1,,,1,,-390,
test2,187,187093,EK27,accept,0,0,-1,,,1,,-390,
test2,284,284120,GA15,accept,0,0,-1,,,1,,-390,
test2,8,7993.96,GA55,accept,0,0,-1,,,1,,-390,
test2,232,232092,GA73,accept,0,0,-1,,,1,,-390,
test2,132,132062,JQ66,accept,1,-1,-1,132,132062,1,,-390,
test2,231,231091,MH98,accept,0,0,-1,,,1,,-390,
test2,174,174074,NA39,accept,0,0,-1,,,1,,-390,
test2,239,239100,QR01,accept,0,0,-1,,,1,,-390,
test2,24,24012.2,SQ84,accept,0,0,-1,,,1,,-390,
test2,219,219089,TT43,accept,0,0,-1,,,1,,-390,
test2,7,6979.08,VA63,accept,0,0,-1,,,1,,-390,

test2,43,43014.1,BA91,handoff,0,0,-1,,,1,14,-390,
test2,262,262103,BA94,handoff,0,0,-1,,,1,,-390,
test2,116,116041,EK08,handoff,0,0,-1,,,1,,-390,
test2,135,135057,EK17,handoff,1,-1,-1,135,135057,1,,-390,
test2,209,209090,LPM,handoff,0,0,-1,,,1,,-390,
test2,25,25013.7,NA54,handoff,0,0,-1,,,1,,-390,
test2,16,15996.7,QF19,handoff,0,0,-1,,,1,,-390,
test2,236,236101,QF36,handoff,0,0,-1,,,1,,-390,
test2,169,169082,SPM,handoff,0,0,-1,,,1,,-390,
test2,262,262103,SQ72,handoff,0,0,-1,,,1,,-390,
test2,56,56013.1,SQ90,handoff,0,0,-1,,,1,,-390,
test2,63,63011,TT30,handoff,0,0,-1,,,1,,-390,
test2,157,157087,TT48,handoff,1,-1,-1,157,157087,,,-390,
test2,226,226092,TT68,handoff,0,0,-1,,,1,,-390,

Intervene Time,Intervention Time (HP),Intervene CS,Level,Missed

Trial,Callsign,Dismiss Time,Dismiss Time HP

Trial,Interruption Type,Start Time,End Time,Show Full Screen,External Program,Auto Accept,Auto Handoff

Trial,Stimuli Number,Stimuli,Response

Trial,Flash Time,Flash Time (HP),Flash CS,Type,Automatic,Selection Time,Selection Time (HP),Acceptance Time,Acceptance Time (HP),Error,Error Total,Score
test3,65,65035.2,CX98,accept,0,0,-1,,,1,16,-430,
test3,271,271084,EK09,accept,0,0,-1,,,1,,-430,
test3,133,133072,GA35,accept,0,0,-1,,,1,,-430,
test3,286,286092,GA37,accept,0,0,-1,,,,,-430,
test3,47,47030.1,GA89,accept,0,0,-1,,,1,,-430,
test3,175,175087,JQ29,accept,0,0,-1,,,1,,-430,
